From_Port_Code,To_Port_Code
AEJE3,SADMM
KRPNC,CNTAO
CNTAO,CNXMN
CNXMN,CNDCB
CNDCB,MYWSP
AEJE3,SADMM
KRPNC,CNTAO
CNTAO,CNXMN
CNXMN,MYWSP
MYWSP,CNDCB
AEJE3,SADMM
MYWSP,KRPNC
KRPNC,CNTAO
CNTAO,CNXMN
CNXMN,CNDCB
MYPKG,SGSIN
MYPKG,SGSIN
SGSIN,INMAA
INMAA,INVTZ
THLCH,SGSIN
SGSIN,MYPKG
MYPKG,VNCLI
SGSIN,INMAA
INMAA,INVTZ
INVTZ,MYPKG
SGSIN,MYPKG
MYPKG,VNCLI
VNCLI,THLCH
INMAA,INVTZ
INVTZ,MYPKG
MYPKG,SGSIN
VNCLI,THLCH
THLCH,SGSIN
SGSIN,MYPKG
INMAA,INVTZ
INVTZ,MYPKG
MYPKG,SGSIN
THLCH,SGSIN
SGSIN,MYPKG
MYPKG,VNCLI
SGSIN,MYPKG
MYPKG,VNCLI
VNCLI,THLCH
MYWSP,INMUN
INMUN,INGTI
MYWSP,CNTAO
CNTAO,CNXMN
CNXMN,CNNSA
CNNSA,CNDCB
CNDCB,LKCWT
INGTI,MYWSP
MYWSP,INMUN
LKCWT,CNTAO
CNTAO,CNXMN
CNXMN,CNNSA
CNNSA,CNDCB
CNDCB,MYWSP
INGTI,INANI
INANI,PKKHI
PKKHI,MYWSP
MYWSP,SGSIN
INGTI,INANI
INANI,PKKHI
PKKHI,MYWSP
MYWSP,SGSIN
CNSHK,SGSIN
SGSIN,CNSHA
CNSHA,CNNBG
CNNBG,MYWSP
CNSHK,CNSHA
CNSHA,CNNBG
MYWSP,INGTI
INGTI,INMUN
LKCWT,CNDCB
CNDCB,MYWSP
INGTI,INMUN
INMUN,MYWSP
CNXMN,CNNSA
CNNSA,CNDCB
CNDCB,MYWSP
MYWSP,LKCWT
LKCWT,CNTAO
INGTI,INMUN
INMUN,MYWSP
MYWSP,CNTAO
CNTAO,CNXMN
CNXMN,CNNSA
CNNSA,CNDCB
CNDCB,LKCWT
TZTAG,KEMBA
KEMBA,MYWSP
CNSHA,CNNBG
CNNBG,CNNSA
CNNSA,MYWSP
MYWSP,CNTAO
KEMBA,MYWSP
MYWSP,TZTAG
CNNSA,MYWSP
MYWSP,CNTAO
CNTAO,CNSHA
CNSHA,CNNBG
CNTAO,KRPUS
CNSHA,CNTAO
CNTAO,KRPUS
KRPUS,CNSHA
CNSHA,CNTAO
CNSHA,CNTAO
CNTAO,KRPUS
AEJE3,SADMM
CNXMN,CNDCB
CNDCB,MYWSP
MYWSP,KRPNC
KRPNC,CNTAO
AEJE3,SADMM
CNXMN,CNDCB
CNDCB,KRPNC
KRPNC,CNTAO
CNTAO,MYWSP
AEJE3,SADMM
KRPNC,CNTAO
CNTAO,CNXMN
CNXMN,CNDCB
CNDCB,MYWSP
KRPNC,CNTAO
KEMBA,TZTAG
MYWSP,CNSHA
CNSHA,CNNBG
MYWSP,TZTAG
TZTAG,KEMBA
MYWSP,CNTAO
CNTAO,CNSHA
CNSHA,CNNBG
CNNBG,CNNSA
KEMBA,MYWSP
MYWSP,TZTAG
CNSHA,CNNBG
CNNBG,CNNSA
CNNSA,MYWSP
MYWSP,CNTAO
CNTAO,CNSHA
CNSHA,CNNBG
CNNBG,MYWSP
MYWSP,CNNSA
EGSOK,SASCT
CNNSA,CNSHK
CNSHK,CNTAO
CNTAO,CNSHA
CNSHA,CNNBG
MYPKG,IDSUB
IDSUB,IDSRG
IDSRG,IDJK1
CNSHK,CNNSA
IDSUB,IDSRG
IDSRG,IDJK1
IDJK1,MYPKG
CNSHK,CNNSA
MYPKG,IDSUB
IDSUB,IDSRG
IDSRG,IDJK1
CNSHK,CNNSA
IDSUB,IDSRG
IDSRG,IDJK1
IDJK1,MYPKG
CNSHK,CNNSA
IDJK1,MYPKG
MYPKG,IDSUB
IDSUB,IDSRG
CNSHK,CNNSA
IDSUB,IDSRG
IDSRG,IDJK1
IDJK1,MYPKG
CNSHK,CNNSA
CNSHK,CNNSA
SASCT,SDPZU
SASCT,SDPZU
SASCT,SDPZU
SDPZU,SASCT
SASCT,SDPZU
SDPZU,SASCT
SASCT,SDPZU
SASCT,SDPZU
SASCT,SDPZU
