From_Port_Code,To_Port_Code
KRPUS,KRPUS
JPHIJ,JPHIJ
THBKK,THLCH
THLCH,THBKK
CNSHK,CNNSA
CNNSA,THLCH
THBKK,THLCH
THLCH,THBKK
CNNSA,CNSHK
CNSHK,THLCH
THLCH,CNNSA
TWKEL,THLCH
THLCH,THBKK
THBKK,TWKEL
THBKK,THLCH
CNSHK,CNNSA
CNNSA,THLCH
THBKK,THLCH
THLCH,THBKK
CNSHK,CNNSA
CNNSA,THLCH
THLCH,THLCH
THBKK,THLCH
THLCH,THBKK
CNSHK,CNNSA
CNNSA,THLCH
THLCH,CNSHK
THLCH,THLCH
IDJKT,IDSRG
IDSRG,VNSGN
VNSGN,IDJKT
KRBNP,KRICH
KRICH,CNSHA
CNSHA,CNNBG
CNNBG,KRBNP
CNZJG,CNTAG
CNZJG,CNTAG
CNZJG,CNTAG
CNZJG,CNTAG
THBKK,THLCH
THLCH,VNSGN
VNSGN,KRKAN
KRKAN,KRPUS
KRPUS,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
KRPUS,KRUSN
KRUSN,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
THBKK,THLCH
THLCH,VNSGN
KRKAN,KRPUS
KRPUS,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
THBKK,THLCH
THLCH,THBKK
KRKAN,KRPUS
KRPUS,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
THLCH,VNSGN
CNSHA,CNNBG
CNNBG,CNSHK
CNSHK,SGSIN
MYWSP,HKHKG
CNSHA,CNNBG
CNNBG,CNSHK
CNSHK,SGSIN
SGSIN,MYPKG
THBKK,THLCH
THLCH,VNSGN
VNSGN,THLCH
KRICH,KRKAN
KRKAN,KRPUS
KRPUS,HKHKG
HKHKG,CNSHK
CNSHK,THLCH
KRICH,KRKAN
KRKAN,KRPUS
KRPUS,HKHKG
HKHKG,CNSHK
CNSHK,THLCH
THLCH,KRICH
THBKK,THLCH
THLCH,VNSGN
KRPUS,KRICH
KRICH,VNSGN
VNSGN,THLCH
THBKK,THLCH
THLCH,HKHKG
HKHKG,CNSHK
CNSHK,TWKEL
KRPUS,KRUSN
KRUSN,VNSGN
VNSGN,THLCH
KRPUS,KRUSN
KRUSN,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
THBKK,THLCH
THLCH,CNXAM
KRPUS,KRKAN
KRKAN,VNSGN
VNSGN,THLCH
THBKK,THLCH
THLCH,HKHKG
HKHKG,CNXAM
CNXAM,CNXAM
KRPUS,KRKAN
KRKAN,VNSGN
VNSGN,THLCH
KRICH,KRPUS
KRPUS,CNSHA
CNSHA,VNSGN
VNSGN,THLCH
KRICH,KRPUS
KRPUS,CNSHA
CNSHA,VNSGN
VNSGN,THLCH
VNHPH,CNSHK
CNSHK,VNHPH
KRICH,KRPUS
KRPUS,KRUSN
KRUSN,KRPUS
VNHPH,CNSHK
CNSHK,VNHPH
KRICH,KRPUS
KRPUS,KRUSN
KRUSN,KRICH
VNHPH,CNSHK
CNSHK,VNHPH
CNSHK,CNSHK
KRICH,KRPUS
KRPUS,KRUSN
KRUSN,KRICH
IDJKT,IDSRG
IDSRG,VNSGN
KRBNP,KRICH
KRICH,CNSHA
CNSHA,CNNBG
IDJKT,IDSRG
IDSRG,VNSGN
KRBNP,KRICH
KRICH,CNSHA
CNSHA,CNNBG
CNLYG,CNQDG
CNQDG,KRPUS
KRPUS,KRBNP
CNLYG,CNQDG
CNQDG,KRPUS
KRPUS,KRBNP
KRBNP,KRBNP
CNLYG,CNQDG
CNQDG,KRPUS
KRPUS,KRBNP
KRBNP,CNLYG
KRBNP,KRPUS
CNLYG,CNQDG
CNQDG,KRPUS
KRPUS,CNLYG
THBKK,THLCH
THLCH,CNNSA
CNNSA,CNSHK
CNNSA,CNSHK
CNSHK,THLCH
THBKK,THLCH
THLCH,THBKK
CNNSA,CNSHK
CNSHK,THLCH
THLCH,CNSHK
THLCH,THLCH
THBKK,THLCH
THLCH,THBKK
THLCH,THLCH
CNNSA,CNSHK
CNSHK,THLCH
THLCH,CNNSA
THLCH,THLCH
KRICH,CNXGA
KRICH,CNXGA
CNXGA,CNXGA
MYWSP,MYWSP
MYWSP,HKHKG
CNSHA,CNNBG
CNNBG,CNSHK
CNSHK,SGSIN
SGSIN,MYPKG
JPKNZ,KRPUS
JPKNZ,KRPUS
JPKNZ,KRPUS
KRICH,KRPUS
JPUKB,JPOSA
JPOSA,JPMIZ
JPMIZ,KRPUS
KRICH,KRPUS
JPUKB,JPOSA
JPOSA,JPMIZ
JPMIZ,KRPUS
KRICH,KRPUS
JPTRG,JPMAI
JPMAI,JPSMN
JPTRG,JPMAI
JPMAI,JPSMN
JPTRG,JPMAI
JPMAI,JPSMN
JPTRG,JPMAI
THBKK,THLCH
THLCH,VNSGN
KRKAN,KRPUS
KRPUS,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
THBKK,THLCH
THLCH,THLCH
KRKAN,KRPUS
KRPUS,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
THBKK,THLCH
THLCH,VNSGN
KRICH,KRPUS
KRPUS,VNSGN
VNSGN,THLCH
THBKK,THLCH
THLCH,VNSGN
KRICH,KRPUS
KRPUS,VNSGN
VNSGN,THLCH
CNNBG,CNSHA
CNNBG,CNSHA
CNNBG,CNSHA
CNNBG,CNSHA
CNNBG,CNSHA
CNSHA,CNNBG
KRPUS,KRICH
KRICH,HKHKG
VNHPH,HKHKG
KRPUS,KRICH
VNHPH,HKHKG
KRPUS,KRICH
KRICH,HKHKG
KRUSN,KRPUS
JPTYO,JPSMZ
JPSMZ,JPNGO
JPNGO,JPYKK
JPYKK,JPTHS
KRUSN,KRPUS
JPNGO,JPYKK
JPYKK,JPTHS
JPTHS,JPTYO
JPTYO,JPSMZ
CNNBG,CNSHA
CNSHA,KRPUS
JPNIH,JPTOS
JPTOS,JPKNZ
JPKNZ,KRUSN
KRUSN,KRPUS
KRPUS,KRKAN
CNNBG,CNSHA
CNSHA,KRPUS
JPNIH,JPTOS
JPTOS,JPKNZ
VNHPH,CNXAM
KRICH,KRKAN
KRKAN,KRPUS
VNHPH,CNXAM
KRICH,KRKAN
KRKAN,KRPUS
VNHPH,CNXAM
KRICH,KRKAN
KRKAN,KRPUS
THBKK,THLCH
THLCH,VNSGN
KRICH,KRKAN
KRKAN,KRPUS
KRPUS,VNSGN
VNSGN,THLCH
THBKK,THLCH
THLCH,THBKK
THLCH,THLCH
KRICH,KRKAN
KRKAN,KRPUS
KRPUS,VNSGN
VNSGN,THLCH
THLCH,KRKAN
THBKK,THLCH
THLCH,VNSGN
VNSGN,KRICH
KRICH,KRPUS
KRICH,KRPUS
KRPUS,VNSGN
VNSGN,THLCH
KRKAN,KRPUS
KRPUS,CNSHA
CNSHA,VNSGN
THBKK,THLCH
THLCH,VNSGN
KRKAN,KRPUS
KRPUS,CNSHA
CNSHA,VNSGN
KRICH,KRPUS
KRPUS,CNSHA
CNSHA,VNSGN
VNSGN,THLCH
VNSGN,VNSGN
KRICH,KRPUS
KRPUS,CNSHA
CNSHA,VNSGN
VNSGN,THLCH
RUVVO,RUVVO
RUVVO,RUVVO
RUVVO,RUVVO
RUVVO,RUVVO
CNNBG,CNSHA
CNSHA,CNNBG
KRPUS,KRPUS
CNNBG,CNSHA
CNSHA,CNNBG
KRPUS,KRKAN
KRKAN,KRPUS
CNNBG,CNSHA
CNSHA,CNNBG
KRPUS,KRKAN
KRKAN,KRPUS
CNNBG,CNSHA
CNSHA,CNNBG
KRPUS,KRKAN
KRKAN,KRPUS
THBKK,THLCH
THLCH,HKHKG
HKHKG,CNSHK
CNSHK,TWKEL
KRPUS,KRUSN
KRUSN,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
KRPUS,KRUSN
KRUSN,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
THBKK,THLCH
THLCH,VNSGN
KRICH,KRKAN
KRKAN,KRPUS
KRPUS,VNSGN
VNSGN,THLCH
THBKK,THLCH
KRICH,KRKAN
KRKAN,KRPUS
KRPUS,VNSGN
VNSGN,THLCH
KRPUS,KRKAN
KRPUS,KRKAN
KRPUS,KRKAN
KRPUS,KRKAN
CNQDG,CNQDG
KRPUS,KRKAN
THBKK,THLCH
THLCH,VNSGN
VNSGN,VNSGN
KRPUS,KRICH
KRICH,VNSGN
VNSGN,THLCH
THBKK,THLCH
THLCH,VNSGN
VNSGN,THBKK
KRICH,KRPUS
KRPUS,VNSGN
VNSGN,THLCH
THLCH,KRICH
CNXGA,CNDAL
CNDAL,KRPUS
KRPUS,KRKAN
KRPUS,KRKAN
CNXGA,CNDAL
KRPUS,KRKAN
CNXGA,CNDAL
KRPUS,KRKAN
CNXGA,CNDAL
KRPUS,KRKAN
KRPUS,KRKAN
THBKK,THLCH
THLCH,HKHKG
HKHKG,CNXAM
KRPUS,KRKAN
KRKAN,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
THBKK,THBKK
KRPUS,KRKAN
KRKAN,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
THLCH,KRPUS
THLCH,VNSGN
THBKK,THLCH
THLCH,VNSGN
VNSGN,KRICH
KRICH,KRPUS
KRPUS,THBKK
KRICH,KRPUS
KRPUS,VNSGN
VNSGN,THLCH
THLCH,KRICH
JPNGO,JPUKB
JPUKB,KRPUS
JPNGO,JPUKB
JPNGO,JPUKB
THBKK,THLCH
THLCH,VNSGN
KRICH,KRKAN
KRKAN,KRPUS
KRPUS,HKHKG
HKHKG,CNSHK
CNSHK,THLCH
KRICH,KRKAN
KRKAN,KRPUS
KRPUS,HKHKG
HKHKG,CNSHK
CNSHK,THLCH
CNXGA,CNDAL
CNDAL,KRPUS
JPNIH,JPNAO
JPNAO,JPTOS
JPTOS,KRPUS
CNXGA,CNDAL
CNDAL,KRKPO
KRKPO,KRPUS
JPNIH,JPTOS
JPTOS,JPNAO
JPNAO,KRPUS
KRPUS,JPNAO
JPYOK,JPUKB
JPUKB,KRPUS
JPYOK,JPUKB
JPUKB,JPOSA
JPOSA,KRPUS
JPOSA,JPUKB
JPUKB,KRPUS
KRICH,CNQDG
CNQDG,CNNBG
VNHPH,CNSHK
KRICH,CNQDG
VNHPH,CNSHK
KRICH,CNQDG
CNQDG,CNNBG
VNHPH,CNSWA
CNSWA,CNJIA
KRPUS,KRKAN
KRKAN,CNSHA
VNHPH,CNSWA
CNSWA,CNJIA
KRPUS,KRKAN
KRKAN,CNSHA
KRPUS,KRKAN
KRKAN,CNSHA
CNNBG,CNSHA
CNSHA,KRPUS
JPNIH,JPTOS
JPTOS,JPKNZ
JPKNZ,KRUSN
KRUSN,KRPUS
KRPUS,KRKAN
CNNBG,CNSHA
CNSHA,KRPUS
JPNIH,JPTOS
JPTOS,JPKNZ
VNHPH,CNQZH
CNQZH,CNXAM
KRICH,KRKUV
KRKUV,KRPUS
VNHPH,CNQZH
CNQZH,CNXAM
KRICH,KRKUV
KRKUV,KRPUS
KRICH,KRKUV
KRKUV,KRPUS
THBKK,THLCH
THLCH,HKHKG
HKHKG,CNXAM
KRPUS,KRKAN
KRKAN,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
THBKK,THBKK
KRPUS,KRKAN
KRKAN,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
IDJKT,IDSRG
IDSRG,VNSGN
KRBNP,KRICH
KRICH,CNSHA
CNSHA,CNNBG
IDJKT,IDSRG
IDSRG,VNSGN
KRBNP,KRICH
KRICH,CNSHA
CNSHA,CNNBG
KRICH,KRPUS
KRPUS,CNSHA
CNSHA,VNSGN
VNSGN,THLCH
THBKK,THLCH
THLCH,VNSGN
VNSGN,THBKK
KRICH,KRPUS
KRPUS,CNSHA
CNSHA,VNSGN
VNSGN,THLCH
THLCH,CNSHA
THBKK,THLCH
THLCH,VNSGN
VNSGN,KRICH
KRICH,KRPUS
KRICH,KRPUS
KRPUS,VNSGN
VNSGN,THLCH
VNHPH,CNQZH
CNQZH,CNXAM
KRICH,KRKUV
KRKUV,KRPUS
VNHPH,CNQZH
CNQZH,CNXAM
KRICH,KRKUV
KRKUV,KRPUS
CNSHA,CNNBG
KRPUS,KRKAN
CNSHA,CNNBG
KRPUS,KRKAN
CNSHA,CNNBG
KRPUS,KRKAN
KRPUS,KRUSN
KRUSN,KRKAN
THBKK,THLCH
THLCH,VNSGN
KRKAN,KRPUS
KRPUS,CNSHA
CNSHA,VNSGN
VNSGN,THLCH
KRKAN,KRPUS
KRPUS,CNSHA
KRKAN,KRPUS
KRPUS,CNSHA
CNSHA,CNSHA
VNHPH,CNXAM
CNXAM,VNHPH
KRKAN,KRPUS
KRPUS,KRKAN
VNHPH,CNXAM
CNXAM,VNHPH
KRICH,KRKAN
KRKAN,KRPUS
KRPUS,KRICH
VNHPH,CNXAM
CNXAM,VNHPH
KRICH,KRKAN
KRKAN,KRPUS
KRPUS,KRICH
JPHIJ,JPIYM
JPIYM,JPMIZ
JPHIJ,JPIYM
JPIYM,JPMIZ
JPHIJ,JPIYM
JPIYM,JPMIZ
JPHIJ,JPIYM
JPIYM,JPIYM
KRPUS,KRICH
KRICH,HKHKG
VNHPH,HKHKG
HKHKG,VNHPH
KRPUS,KRICH
KRICH,HKHKG
HKHKG,HKHKG
VNHPH,HKHKG
HKHKG,VNHPH
KRPUS,KRICH
KRICH,HKHKG
HKHKG,KRPUS
THBKK,THLCH
THLCH,VNSGN
KRICH,KRKAN
KRKAN,KRPUS
KRPUS,HKHKG
HKHKG,CNSHK
CNSHK,THLCH
KRPUS,KRICH
KRICH,KRKAN
KRKAN,HKHKG
HKHKG,CNSHK
CNSHK,THLCH
THLCH,HKHKG
KRKAN,KRPUS
KRPUS,CNSHA
THBKK,THLCH
THLCH,VNSGN
KRKAN,KRPUS
KRPUS,CNSHA
CNSHA,VNSGN
VNHPH,CNSHK
KRICH,KRPUS
KRPUS,KRUSN
VNHPH,CNSHK
KRICH,KRPUS
KRPUS,KRUSN
VNHPH,CNSHK
KRICH,KRPUS
KRPUS,KRUSN
KRKAN,KRPUS
KRPUS,HKHKG
HKHKG,VNSGN
THBKK,THLCH
THLCH,VNSGN
KRKAN,KRPUS
KRPUS,HKHKG
HKHKG,VNSGN
VNSGN,THLCH
KRKAN,KRPUS
VNHPH,CNSWA
CNSWA,CNJIA
KRPUS,KRKAN
KRKAN,CNSHA
VNHPH,CNJIA
KRPUS,KRKAN
KRKAN,CNSHA
VNHPH,CNSWA
KRPUS,CNSHA
KRUSN,KRPUS
JPOSA,JPUKB
JPUKB,JPMIZ
JPMIZ,JPHIJ
KRUSN,KRPUS
JPOSA,JPUKB
JPUKB,JPMIZ
JPMIZ,JPHIJ
KRUSN,KRPUS
CNXGA,CNDAL
CNDAL,KRKPO
KRUSN,KRPUS
KRPUS,KRBNP
CNXGA,CNDAL
CNDAL,KRKPO
KRKPO,KRPUS
JPNIH,JPTOS
JPTOS,JPNAO
JPNAO,KRUSN
KRUSN,KRPUS
KRPUS,JPNAO
JPCHB,JPTYO
JPTYO,JPYOK
JPYOK,KRUSN
KRUSN,KRPUS
JPTYO,JPCHB
JPCHB,JPYOK
JPYOK,KRUSN
KRUSN,KRPUS
NICIO,CRCAL
NICIO,CRCAL
NICIO,CRCAL
NICIO,CRCAL
JMKIN,HNPCR
HNPCR,GTSTC
USHOU,HNPCR
HNPCR,GTSTC
COCTG,COBAQ
COBAQ,JMKIN
JMKIN,HNPCR
HNPCR,GTSTC
USHOU,HNPCR
HNPCR,GTSTC
COCTG,COBAQ
COBAQ,JMKIN
JMKIN,HNPCR
HNPCR,GTSTC
USHOU,HNPCR
HNPCR,GTSTC
COCTG,COBAQ
COBAQ,JMKIN
JMKIN,HNPCR
HNPCR,GTSTC
TRALI,TRGEM
TRGEM,TRIZT
TRIZT,TRAVC
TRAVC,MTMLA
ITGOA,FRMRS
FRMRS,ITSPE
ITSPE,ITLIV
ITLIV,ITNAP
ITNAP,ITSAL
ITSAL,MTMLA
TRALI,TRGEM
TRGEM,TRIZT
TRIZT,TRAVC
TRAVC,MTMLA
ITGOA,FRMRS
FRMRS,ITSPE
ITSPE,ITLIV
ITLIV,ITNAP
ITNAP,ITSAL
ITSAL,MTMLA
ITGOA,FRMRS
FRMRS,ITSPE
ITSPE,ITLIV
ITLIV,ITNAP
ITNAP,ITSAL
TRALI,TRGEM
TRGEM,TRIZT
TRIZT,TRAVC
TRAVC,MTMLA
VNUIH,SGSIN
VNDAD,VNUIH
VNUIH,SGSIN
VNDAD,VNUIH
VNUIH,SGSIN
VNDAD,VNUIH
VNUIH,SGSIN
VNDAD,VNUIH
VNUIH,SGSIN
VNDAD,VNUIH
VNUIH,SGSIN
VNDAD,VNUIH
VNUIH,SGSIN
VNDAD,VNUIH
VNUIH,SGSIN
CNTAO,CNNBG
CNNBG,CNSHK
CNSHK,SGSIN
INNSA,INMUN
INMUN,PKKHI
PKKHI,LKCMB
LKCMB,SGSIN
VNHPH,CNXMN
CNXMN,CNNSA
SOBBO,YEADE
SOBBO,YEADE
SOBBO,YEADE
USHOU,HNPCR
HNPCR,GTSTC
COCTG,COBAQ
COBAQ,JMKIN
JMKIN,HNPCR
HNPCR,GTSTC
USHOU,HNPCR
HNPCR,GTSTC
COCTG,COBAQ
COBAQ,JMKIN
JMKIN,HNPCR
HNPCR,GTSTC
USHOU,HNPCR
HNPCR,GTSTC
COCTG,COBAQ
COBAQ,JMKIN
JMKIN,HNPCR
HNPCR,GTSTC
USHOU,HNPCR
HNPCR,GTSTC
LTKLJ,SENRK
SENRK,SEGVX
SEGVX,FIRAU
LTKLJ,SENRK
SENRK,SEGVX
SEGVX,FIRAU
LTKLJ,SENRK
SENRK,SEGVX
SEGVX,FIRAU
LTKLJ,SENRK
SENRK,SEGVX
SEGVX,FIRAU
LTKLJ,SENRK
SENRK,SEGVX
SEGVX,FIRAU
LTKLJ,SENRK
SENRK,SEGVX
SEGVX,FIRAU
IEDUB,GBLIV
GBLIV,FRLEH
MACAS,MAPTM
MAPTM,ESVLC
ESVLC,MTMLA
MTMLA,TRIZT
ROCND,TRIZT
TRIZT,TRGEB
TRGEB,TRAVC
TRAVC,TRALI
TRALI,MTMLA
MTMLA,ESBCN
ESBCN,ESVLC
MACAS,MAPTM
MAPTM,ESVLC
ESVLC,MTMLA
MTMLA,TRIZT
ROCND,TRIZT
TRIZT,TRGEB
TRGEB,TRAVC
TRAVC,TRALI
JPTMK,JPSDJ
JPTMK,JPSDJ
JPTMK,JPSDJ
JPSDJ,JPHHE
JPHHE,JPTMK
JPSDJ,JPHHE
JPHHE,JPTMK
JPSDJ,JPHHE
JPHHE,JPTMK
JPSDJ,JPHHE
JPHHE,JPTMK
JPSDJ,JPHHE
JPHHE,JPTMK
GBIMM,DEHAM
DEHAM,PLSZZ
GBIMM,DEHAM
DEHAM,PLSZZ
GBIMM,DEHAM
DEHAM,PLSZZ
GBIMM,DEHAM
DEHAM,PLSZZ
GBIMM,DEHAM
DEHAM,PLSZZ
GBIMM,DEHAM
DEHAM,PLSZZ
GBIMM,DEHAM
DEHAM,PLSZZ
GBIMM,DEHAM
DEHAM,PLSZZ
GBIMM,DEHAM
DEHAM,PLSZZ
GBIMM,DEHAM
DEHAM,PLSZZ
GBIMM,DEHAM
DEHAM,PLSZZ
GBIMM,DEHAM
DEHAM,PLSZZ
GBIMM,DEHAM
DEHAM,PLSZZ
INMUN,INNSA
INMUN,INNSA
INMUN,INNSA
NGONN,BJCOO
SGSIN,MYTPP
TGLFW,NGAPP
NGAPP,NGONN
NGONN,BJCOO
AUMEL,AUSYD
AUSYD,AUBNE
JPYOK,JPOSA
JPOSA,CNTAO
CNTAO,CNNBG
CNNBG,TWKHH
AUMEL,AUSYD
AUSYD,AUBNE
JPYOK,JPOSA
JPOSA,CNTAO
CNTAO,CNNBG
CNNBG,TWKHH
SGSIN,MYTPP
TGLFW,NGAPP
NGAPP,NGONN
NGONN,BJCOO
SGSIN,MYTPP
MYTPP,REPDG
MZMPM,MZBEW
SGSIN,MYTPP
MYTPP,REPDG
AUSYD,AUBNE
JPYOK,JPOSA
JPOSA,CNTAO
CNTAO,CNNBG
CNNBG,TWKHH
AUMEL,AUSYD
AUSYD,AUBNE
JPYOK,JPOSA
JPOSA,CNTAO
CNTAO,CNNBG
CNNBG,TWKHH
AUMEL,AUSYD
CNTAO,CNNBG
CNNBG,TWKHH
AUMEL,AUSYD
AUSYD,AUBNE
JPYOK,JPOSA
JPOSA,CNTAO
CNTAO,CNNBG
CNNBG,TWKHH
AUMEL,AUSYD
AUSYD,AUBNE
JPYOK,JPOSA
JPYOK,JPOSA
JPOSA,CNTAO
CNTAO,CNNBG
CNNBG,TWKHH
AUMEL,AUSYD
AUSYD,AUBNE
JPYOK,JPOSA
JPOSA,CNTAO
CNTAO,CNNBG
CNNBG,TWKHH
AUMEL,AUSYD
AUSYD,AUBNE
THSGZ,SGSIN
THSGZ,SGSIN
THSGZ,SGSIN
THSGZ,SGSIN
THSGZ,SGSIN
THSGZ,SGSIN
ESLPA,ESSCT
ESSCT,ESACE
ESLPA,ESSCT
ESSCT,ESACE
ESLPA,ESSCT
ESSCT,ESACE
ESLPA,ESSCT
ESSCT,ESACE
ESLPA,ESSCT
ESSCT,ESACE
ESLPA,ESSCT
ESSCT,ESACE
ESLPA,ESSCT
ESSCT,ESACE
ESLPA,ESSCT
ESSCT,ESACE
ESLPA,ESSCT
ESSCT,ESACE
ESALG,MAPTM
ESALG,MAPTM
ESALG,MAPTM
ESALG,MAPTM
ESALG,MAPTM
ESALG,MAPTM
ESALG,MAPTM
AUSYD,AUMEL
NZAKL,NZLYT
NZLYT,NZPOE
NZPOE,NZNSN
NZNSN,NZNPE
NZNPE,NZTRG
AUSYD,AUMEL
NZAKL,NZLYT
NZLYT,NZPOE
NZPOE,NZNSN
NZNSN,NZNPE
NZNPE,NZTRG
AUSYD,AUMEL
NZAKL,NZLYT
NZLYT,NZPOE
NZPOE,NZNSN
NZNSN,NZNPE
NZNPE,NZTRG
AUSYD,AUMEL
AUDAM,AUPHE
AUDAM,AUPHE
AUDAM,AUPHE
AUDAM,AUPHE
AUDAM,AUPHE
AUDAM,AUPHE
AUDAM,AUPHE
AUDAM,AUPHE
AUDAM,AUPHE
PGLAE,PGKIM
PGKIM,PGRAB
PGRAB,PGMTK
SGSIN,MYPKG
MYPKG,IDSUB
PGKIM,PGLAE
PGLAE,PGMTK
PGMTK,AUTSV
AUTSV,AUGLT
SGSIN,MYPKG
MYPKG,IDSUB
TWKHH,CNXMN
CNXMN,CNNBG
AUSYD,AUMEL
AUMEL,AUBNE
TWKHH,CNXMN
CNXMN,CNNBG
AUSYD,AUMEL
AUMEL,AUBNE
TWKHH,CNXMN
AUDAM,AUPHE
AUDAM,AUPHE
AUDAM,AUPHE
AUDAM,AUPHE
AUBNE,NCNOU
NZAKL,NZTRG
AUBNE,NCNOU
NZAKL,NZTRG
AUBNE,NCNOU
NZAKL,NZTRG
AUBNE,NCNOU
NZAKL,NZTRG
AUBNE,NCNOU
NZAKL,NZTRG
AUBNE,NCNOU
NZAKL,NZTRG
AUBNE,NCNOU
NZAKL,NZTRG
PGMTK,AUTSV
AUTSV,AUGLT
SGSIN,MYPKG
MYPKG,IDSUB
PGLAE,PGRAB
PGRAB,PGMTK
PGMTK,AUTSV
SGSIN,MYPKG
MYPKG,IDSUB
PGLAE,PGMTK
PGMTK,AUTSV
AUTSV,AUGLT
CNTAO,CNSHK
PGLAE,PGMTK
PGMTK,AUBNE
AUBNE,AUGLT
AUGLT,AUTSV
CNTAO,CNNBG
CNNBG,CNNSA
PGLAE,PGMTK
PGMTK,AUBNE
AUBNE,AUGLT
AUGLT,AUTSV
NZAKL,NZLYT
NZLYT,NZWLG
NZWLG,NZNPE
NZNPE,NZTRG
TWKEL,CNNBG
CNNBG,CNSHK
CNSHK,TWKHH
NZAKL,NZLYT
NZLYT,NZWLG
NZWLG,NZNPE
NZNPE,NZTRG
TWKEL,CNNBG
CNNBG,CNSHK
CNSHK,TWKHH
NZAKL,NZLYT
NZLYT,NZPOE
NZPOE,NZNSN
NZNSN,NZNPE
NZNPE,NZTRG
AUSYD,AUMEL
NZAKL,NZLYT
NZLYT,NZPOE
NZPOE,NZNSN
NZNSN,NZNPE
NZNPE,NZTRG
AUSYD,AUMEL
NZAKL,NZLYT
NZLYT,NZPOE
NZPOE,NZNSN
NZNSN,NZNPE
NZNPE,NZTRG
AUSYD,AUMEL
NZAKL,NZLYT
NZLYT,NZPOE
NZPOE,NZNSN
NZNSN,NZNPE
NZAKL,NZTRG
AUBNE,NCNOU
NZAKL,NZTRG
AUBNE,NCNOU
NZAKL,NZTRG
AUBNE,NCNOU
NZAKL,NZTRG
AUBNE,NCNOU
NZAKL,NZTRG
AUBNE,NCNOU
NZAKL,NZTRG
AUBNE,NCNOU
NZAKL,NZTRG
NZAKL,NZLYT
NZLYT,NZWLG
NZWLG,NZNPE
NZNPE,NZTRG
TWKEL,CNNBG
CNNBG,CNSHK
CNSHK,TWKHH
NZAKL,NZLYT
NZLYT,NZWLG
NZWLG,NZNPE
NZNPE,NZTRG
TWKEL,CNNBG
CNNBG,CNSHK
CNSHK,TWKHH
SGSIN,MYTPP
MYTPP,REPDG
MZMPM,MZBEW
SGSIN,MYTPP
AUSYD,AUMEL
AUMEL,NZTRG
NZTRG,PFPPT
CAVAN,USOAK
USOAK,USLGB
USLGB,NZAKL
AUSYD,AUMEL
AUMEL,AUADL
FRLEH,MAPTM
SNDKR,CIABJ
CIABJ,SNDKR
GBTIL,FRDKK
FRDKK,BEANR
BEANR,NLVLI
NLVLI,FRLEH
FRLEH,MAPTM
SNDKR,CIABJ
CIABJ,SNDKR
GBTIL,FRDKK
FRDKK,BEANR
BEANR,NLVLI
NLVLI,FRLEH
FRLEH,MAPTM
PKBQM,INNSA
INNSA,INMUN
INMUN,LKCMB
USNYC,USORF
USORF,USSAV
USSAV,USCHS
PKBQM,INNSA
OMSOH,AEKLF
AEKLF,INMUN
INMUN,INNSA
INNSA,LKCMB
LKCMB,MAPTM
GBSOU,DEHAM
DEHAM,BEANR
BEANR,FRLEH
FRLEH,ESALG
AUSYD,AUMEL
AUMEL,AUADL
AUADL,AUFRE
AUFRE,SGSIN
SGSIN,INENR
INENR,LKCMB
INMUN,INNSA
INMUN,INNSA
INMUN,INNSA
MXVER,MXATM
MXATM,USHOU
USHOU,USMSY
GBSOU,BEANR
BEANR,DEBRV
MXVER,MXATM
MXATM,USHOU
USHOU,USMSY
GBSOU,BEANR
MYPKG,CNNBG
CNNBG,SGSIN
CNTAO,CNNBG
PECLL,CLSAI
CLSAI,COBUN
COBUN,ECPSJ
ECPSJ,JPYOK
JPYOK,CNTAO
CNTAO,CNNBG
CNXMN,CNNBG
CAVAN,USSEA
USSEA,KRKAN
KRKAN,CNTAO
CNTAO,CNNBG
AUSYD,AUMEL
AUMEL,AUADL
AUADL,AUFRE
USHOU,USMOB
USMOB,USMSY
SGSIN,VNVUT
VNVUT,CNSHK
CNSHK,CNNBG
USHOU,USMOB
CMKBI,NAWVB
NAWVB,SGSIN
CNTAO,CNNBG
CNNBG,CNNSA
CNNSA,MYTPP
MYTPP,SGSIN
MXZLO,MXESE
MXESE,JPYOK
CNSHK,CNNBG
CNNBG,CNTXG
CNTXG,CNTAO
AEKHL,AEJEA
AEKHL,AEJEA
USLAX,USOAK
VNHPH,MYPKG
MYPKG,SGSIN
SGSIN,LKCMB
USNYC,USORF
SGSIN,LKCMB
LKCMB,KELAU
KEMBA,TZDAR
CNNBG,CNNSA
CNNSA,SGSIN
SGSIN,LKCMB
LKCMB,KELAU
KEMBA,TZDAR
CNTAO,CNNBG
CNNBG,CNXMN
CNXMN,CNNSA
CNNSA,CNSHK
